qTcut          mu_R/mWbb      mu_F/mWbb           list/contribution                                                    dXS +- err (list/contribution)

independent    0.5            0.5                 LO.22                                                                 17761.6713 +-          0.7631

independent    0.5            1                   LO.22                                                                 19316.7881 +-          0.8294

independent    1              0.5                 LO.22                                                                 14311.5287 +-          0.6153

independent    1              1                   LO.22                                                                 15558.8505 +-          0.6680

independent    1              2                   LO.22                                                                 16661.3590 +-          0.7158

independent    2              1                   LO.22                                                                 12815.7920 +-          0.5504

independent    2              2                   LO.22                                                                 13720.5649 +-          0.5893

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb           list/contribution                                                    dXS +- err (list/contribution)

independent    0.5            0.5                 LO.22                                                                 17761.6713 +-          0.7631
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    0.5            0.5                 born                                                                  17761.6713 +-          0.7631

independent    0.5            1                   LO.22                                                                 19316.7881 +-          0.8294
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    0.5            1                   born                                                                  19316.7881 +-          0.8294

independent    1              0.5                 LO.22                                                                 14311.5287 +-          0.6153
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    1              0.5                 born                                                                  14311.5287 +-          0.6153

independent    1              1                   LO.22                                                                 15558.8505 +-          0.6680
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    1              1                   born                                                                  15558.8505 +-          0.6680

independent    1              2                   LO.22                                                                 16661.3590 +-          0.7158
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    1              2                   born                                                                  16661.3590 +-          0.7158

independent    2              1                   LO.22                                                                 12815.7920 +-          0.5504
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    2              1                   born                                                                  12815.7920 +-          0.5504

independent    2              2                   LO.22                                                                 13720.5649 +-          0.5893
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    2              2                   born                                                                  13720.5649 +-          0.5893

=====================================================================================================================================================

