qTcut          mu_R/GAo2      mu_F/GAo2      CHS  order/list                                                                  dXS +- err (order/list)
0.02           2              0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.02           2              0.5                 ..a00                                                                         0. +-              0.
0.02           2              0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.02           2              1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.02           2              1                   ..a00                                                                         0. +-              0.
0.02           2              1                   NLO.QT.32                                                                   -nan +-            -nan

0.02           2              2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.02           2              2                   ..a00                                                                         0. +-              0.
0.02           2              2                   NLO.QT.32                                                                   -nan +-            -nan

=====================================================================================================================================================

qTcut          mu_R/GAo2      mu_F/GAo2      CHS  order/list                                                                  dXS +- err (order/list)

0.03           0.5            0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.03           0.5            0.5                 ..a00                                                                         0. +-              0.
0.03           0.5            0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.03           0.5            1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.03           0.5            1                   ..a00                                                                         0. +-              0.
0.03           0.5            1                   NLO.QT.32                                                                   -nan +-            -nan

0.03           0.5            2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.03           0.5            2                   ..a00                                                                         0. +-              0.
0.03           0.5            2                   NLO.QT.32                                                                   -nan +-            -nan

0.03           1              0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.03           1              0.5                 ..a00                                                                         0. +-              0.
0.03           1              0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.03           1              1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.03           1              1                   ..a00                                                                         0. +-              0.
0.03           1              1                   NLO.QT.32                                                                   -nan +-            -nan

0.03           1              2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.03           1              2                   ..a00                                                                         0. +-              0.
