qTcut          mu_R/GAo2      mu_F/GAo2      dXS +- err (NLO.QT.32.VT.QCD)     

independent    1              0.5            -nan            +- -nan           
independent    1              1              -nan            +- -nan           
independent    1              2              -nan            +- -nan           
