qTcut          mu_R/mWbb      mu_F/mWbb           subprocess                                                     dXS +- err (contribution/subprocess)     chi2_dof   n_run   (removed)

0.01           0.5            0.5                 NNLO.QT-CS.42.RRA.QCD                                                -440225.898 +-          34.042
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
0.01           0.5            0.5                 gg_epvebb~du~                                                          -5595.027 +-           6.306       0.9431       5      (   0)
0.01           0.5            0.5                 gu_epvebb~gd                                                          -97952.053 +-          16.051       0.6358      67      (   0)
0.01           0.5            0.5                 gd~_epvebb~gu~                                                        -41415.517 +-           9.783        1.045      28      (   0)
0.01           0.5            0.5                 du_epvebb~dd                                                            -546.236 +-           1.789       0.3358       3      (   0)
0.01           0.5            0.5                 dc_epvebb~ds                                                            -285.280 +-           1.428       0.6948       3      (   0)
0.01           0.5            0.5                 dd~_epvebb~du~                                                          -188.226 +-           0.833       0.8815       3      (   0)
0.01           0.5            0.5                 ds~_epvebb~dc~                                                          -161.049 +-           0.745       0.6543       3      (   0)
0.01           0.5            0.5                 uu_epvebb~du                                                            -821.192 +-           5.064       0.2821       4      (   0)
0.01           0.5            0.5                 uc_epvebb~dc                                                            -277.303 +-           2.047       0.1088       3      (   0)
0.01           0.5            0.5                 ud~_epvebb~gg                                                        -278639.154 +-          25.876        1.017     503      (   0)
0.01           0.5            0.5                 ud~_epvebb~dd~                                                         -3411.332 +-           5.038       0.7884       3      (   0)
0.01           0.5            0.5                 ud~_epvebb~uu~                                                         -3409.806 +-           2.634      0.05133       3      (   0)
0.01           0.5            0.5                 ud~_epvebb~ss~                                                         -3154.622 +-           1.384       0.7015       3      (   0)
0.01           0.5            0.5                 ud~_epvebb~cc~                                                         -3154.620 +-           1.385       0.6938       3      (   0)
0.01           0.5            0.5                 uu~_epvebb~du~                                                          -255.011 +-           2.560       0.1748       3      (   0)
0.01           0.5            0.5                 us~_epvebb~ds~                                                          -232.037 +-           2.558       0.2078       3      (   0)
0.01           0.5            0.5                 us~_epvebb~uc~                                                          -229.129 +-           0.884       0.3345       3      (   0)
0.01           0.5            0.5                 uc~_epvebb~dc~                                                          -163.688 +-           2.037       0.9694       3      (   0)
0.01           0.5            0.5                 d~d~_epvebb~d~u~                                                         -97.764 +-           0.902      0.09561       3      (   0)
0.01           0.5            0.5                 d~u~_epvebb~u~u~                                                         -76.607 +-           1.966        3.407       3      (   0)
0.01           0.5            0.5                 d~s~_epvebb~d~c~                                                         -91.909 +-           0.862       0.4265       3      (   0)
0.01           0.5            0.5                 d~c~_epvebb~u~c~                                                         -68.335 +-           0.458     0.004186       3      (   0)

0.01           1              1                   NNLO.QT-CS.42.RRA.QCD                                                -305465.799 +-          23.180
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
0.01           1              1                   gg_epvebb~du~                                                          -3684.573 +-           4.042       0.9406       5      (   0)
0.01           1              1                   gu_epvebb~gd                                                          -67018.451 +-          10.672       0.6282      67      (   0)
0.01           1              1                   gd~_epvebb~gu~                                                        -28170.621 +-           6.536        1.059      28      (   0)
0.01           1              1                   du_epvebb~dd                                                            -352.515 +-           1.095       0.2617       3      (   0)
0.01           1              1                   dc_epvebb~ds                                                            -190.757 +-           0.868       0.6224       3      (   0)
0.01           1              1                   dd~_epvebb~du~                                                          -123.567 +-           0.531       0.7301       3      (   0)
0.01           1              1                   ds~_epvebb~dc~                                                          -106.976 +-           0.482       0.7290       3      (   0)
0.01           1              1                   uu_epvebb~du                                                            -528.088 +-           3.246       0.2919       4      (   0)
0.01           1              1                   uc_epvebb~dc                                                            -190.488 +-           1.355      0.09668       3      (   0)
