qTcut          mu_R/GAo2      mu_F/GAo2      CHS  order/list                                                                  dXS +- err (order/list)

independent    0.5            1                   dNLO.QCD                                                                    -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    0.5            1                   NLO.CS.32                                                                   -nan +-            -nan

independent    1              1                   dNLO.QCD                                                                    -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    1              1                   NLO.CS.32                                                                   -nan +-            -nan

independent    2              1                   dNLO.QCD                                                                    -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    2              1                   NLO.CS.32                                                                   -nan +-            -nan

=====================================================================================================================================================

