qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

independent    0.5            0.5                 NLO.QCD                                                              46133.38771 +-         2.64467
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    0.5            0.5                 LO.22                                                                17761.67126 +-         0.76310
independent    0.5            0.5                 NLO.CS.32                                                            28371.71645 +-         2.53219

independent    0.5            1                   NLO.QCD                                                              47943.49740 +-         2.79863
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    0.5            1                   LO.22                                                                19316.78812 +-         0.82940
independent    0.5            1                   NLO.CS.32                                                            28626.70929 +-         2.67290

independent    1              0.5                 NLO.QCD                                                              37801.77995 +-         2.07661
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    1              0.5                 LO.22                                                                14311.52869 +-         0.61534
independent    1              0.5                 NLO.CS.32                                                            23490.25126 +-         1.98335

independent    1              1                   NLO.QCD                                                              39470.42077 +-         2.20225
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    1              1                   LO.22                                                                15558.85047 +-         0.66800
independent    1              1                   NLO.CS.32                                                            23911.57029 +-         2.09849

independent    1              2                   NLO.QCD                                                              40782.07928 +-         2.32505
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    1              2                   LO.22                                                                16661.35897 +-         0.71580
independent    1              2                   NLO.CS.32                                                            24120.72031 +-         2.21213

independent    2              1                   NLO.QCD                                                              33071.01840 +-         1.81102
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    2              1                   LO.22                                                                12815.79199 +-         0.55035
independent    2              1                   NLO.CS.32                                                            20255.22641 +-         1.72538

independent    2              2                   NLO.QCD                                                              34288.11805 +-         1.91492
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    2              2                   LO.22                                                                13720.56490 +-         0.58927
independent    2              2                   NLO.CS.32                                                            20567.55315 +-         1.82200

=====================================================================================================================================================

