#m_bbZ-mbbZ1000        central        num_err    min (scale)        num_err    max (scale)        num_err
              0              0              0              0              0              0              0
              1              0              0              0              0              0              0
              2              0              0              0              0              0              0
              3              0              0              0              0              0              0
              4              0              0              0              0              0              0
              5              0              0              0              0              0              0
              6              0              0              0              0              0              0
              7              0              0              0              0              0              0
              8              0              0              0              0              0              0
              9              0              0              0              0              0              0
             10              0              0              0              0              0              0
             11              0              0              0              0              0              0
             12              0              0              0              0              0              0
             13   0.0012555803   0.0012555175  0.00078082668  0.00078078763   0.0022244197   0.0022243085
             14              0              0              0              0              0              0
             15   0.0067509698   0.0030268027   0.0041501748   0.0018840195    0.013947345   0.0063387239
             16   0.0071735135   0.0046715957  -0.0011863309   0.0085843387    0.010388264   0.0047751082
             17   0.0071566932   0.0049098252   0.0042070018   0.0088766206   0.0085580287   0.0062454673
             18     0.04303221    0.015341285    0.036357987    0.016057761     0.04536655    0.017672669
             19     0.01947663   0.0077456174     0.01373365   0.0061192072    0.031411174    0.016574944
             20    0.041469762   0.0085187776    0.030796175   0.0061113823    0.055479109    0.016607907
             21    0.048049221    0.010326544    0.037572547   0.0078867088    0.071405119    0.018443438
             22    0.079552878    0.013843302    0.068728903    0.012519371     0.10006728    0.021875152
             23    0.087702179     0.01418141    0.072715676    0.011961116     0.11344719    0.025419856
             24     0.14202347     0.01720443     0.11104589    0.014325806     0.20185336    0.028395481
             25     0.10714592    0.015158724    0.083772496    0.011299733     0.16509221    0.030313714
             26     0.15849422    0.019748674     0.13226677    0.015923152     0.23440283    0.039098545
             27     0.20186093    0.022967436     0.15945189    0.016979722     0.29395119    0.043124781
             28     0.22363001    0.022555354     0.17796335    0.017742599     0.28994722    0.039697124
             29     0.24670105    0.023018712     0.20031496    0.018471284     0.32687978    0.040176789
             30     0.27098213    0.025759227     0.22819312    0.020746482     0.32472032    0.043658722
             31     0.31656077     0.02809711     0.26327285    0.024305385     0.40257747    0.043396162
             32     0.37917358    0.028624392     0.31219014      0.0226788      0.4966904    0.048096899
             33     0.37095436    0.029400331     0.30932894    0.023996087     0.50858649    0.060697131
             34     0.51185043    0.036643435      0.4149495    0.030824666     0.75152963    0.073451695
             35     0.52013794    0.034673155     0.43390324    0.028876657     0.62221434    0.054699091
             36     0.60227008    0.036504595     0.48270137    0.029189235     0.85121736    0.070427661
             37     0.58597597    0.034941216      0.4701222      0.0276383     0.78321339    0.057774514
             38     0.67912089    0.051476144     0.58594374    0.052420236     0.98926801     0.18298151
             39     0.72728516    0.042455458     0.59508882    0.036905412      1.0020819    0.067589783
             40      0.8990492    0.047864061     0.74921112    0.041683645      1.1598261    0.069668707
             41     0.83202478    0.046249717     0.69532701    0.039043815       1.088964    0.083662491
             42     0.93020173     0.05458952     0.77769049    0.048545482      1.1815675    0.083840579
             43      1.0947101    0.075381745     0.95246571    0.073430264      1.2971698    0.087075414
             44      1.1628036    0.068586493      0.9761156    0.061322805      1.4966148    0.089262084
             45       1.273138    0.069837815      1.0660284    0.064493047      1.6235292    0.092775712
             46      1.3382536    0.060529532      1.1251757    0.052628034      1.6786177     0.08279825
             47      1.4851696    0.067100674      1.2515448    0.059779204       1.888933      0.1041142
             48      1.6071134    0.070518338      1.3724429    0.064900107      1.9602458    0.093328673
             49       1.812664     0.16868788      1.5646628     0.16083786      2.1031396      0.1748396
             50      1.7338518    0.072305455      1.4562837    0.062809401      2.1862532     0.10322067
             51      2.0676997    0.080734777      1.7276668    0.070825721      2.6609913     0.11577306
             52      1.9307194    0.074525544      1.6131987    0.064347016      2.4660949     0.10983353
             53      2.1469953    0.083404505      1.8048091    0.072002341       2.706315     0.11958203
             54      2.1983728    0.079071187      1.8627011    0.066322116        2.73908        0.12423
             55      2.3419606    0.096401688       1.994846     0.09694441      2.8467015     0.10779098
             56      2.6417464    0.094632847      2.2443242    0.083959194      3.3337389     0.13476235
             57      2.9139127     0.13235718      2.5053043     0.12975561      3.5902991     0.15371733
             58      2.9919676     0.10358406      2.5322172    0.089908567       3.763899     0.14422334
             59      3.1543655    0.097476401      2.6564535     0.08487135       3.958487      0.1313627
             60      3.4160654     0.12309584      2.9143585     0.11439942      4.2205232     0.14816131
             61      3.5393361      0.1637138       3.028726     0.15414457      4.4326996     0.19515778
             62      3.9487506     0.15593588       3.381618     0.14034742      4.8206181     0.20189642
             63       4.015664     0.10988631      3.4045895    0.096059829      4.9870798      0.1470091
             64      4.5869052     0.14411827      3.8987202     0.12860672      5.6446687     0.17982012
             65      4.5578853     0.15583997       3.913887     0.12507192      5.4981334     0.25392526
             66      4.8678364     0.12161155      4.1236564     0.10695461        6.11476     0.16549119
             67      5.2103451     0.13670986      4.4216894     0.12017509      6.4847813     0.18140791
             68      5.5329865     0.14201311       4.689698     0.12612078      6.9432718     0.19054728
             69      5.9632563     0.15943209      5.0892601     0.14354116      7.4685973     0.20798854
             70      6.3419059     0.16102703      5.3969157     0.14584267      7.8157792      0.2021966
             71      7.0031753     0.20783299      6.0129815     0.20142193      8.5572264     0.22962673
             72      7.5493104     0.24963224       6.431441     0.21932587      9.2788319     0.30869281
             73      7.9705667     0.21017969      6.8153313     0.19334181      9.8304218     0.25172664
             74      8.9131738     0.17881692      7.6073848     0.15799231      10.961563     0.23072806
             75       9.259097     0.22292454      7.9410001     0.20160908      11.303766     0.27095943
             76      10.204346     0.31835775      8.7527706     0.29770432      12.437538     0.35373806
             77       10.69367       0.197673      9.1733772     0.17458674      13.009158     0.25240306
             78      11.999844     0.34610082       10.27828     0.33934923      14.752931     0.37213265
             79      12.967581     0.35268981      11.121014      0.3251668      15.857908     0.40182161
             80      14.353546     0.35069188      12.307126     0.31240133      17.539918     0.42534152
             81      16.612002     0.39830786       14.28576     0.36809903      20.287572     0.43791928
