# pt_bb-mbbZ150        central        num_err    min (scale)        num_err    max (scale)        num_err
            195    0.025644469    0.021168953    0.025644469    0.021168953    0.025644469    0.021168953
            200   0.0088383069   0.0036317345   0.0088383069   0.0036317345   0.0088383069   0.0036317345
            205    0.007656929   0.0024212125    0.007656929   0.0024212125    0.007656929   0.0024212125
            210   0.0015313976   0.0010828075   0.0015313976   0.0010828075   0.0015313976   0.0010828075
            215   0.0050642322   0.0020972525   0.0050642322   0.0020972525   0.0050642322   0.0020972525
            220  -0.0015314173   0.0010828214  -0.0015314173   0.0010828214  -0.0015314173   0.0010828214
            225   0.0038284842    0.002025751   0.0038284842    0.002025751   0.0038284842    0.002025751
            230   0.0030627952    0.001531321   0.0030627952    0.001531321   0.0030627952    0.001531321
            235   0.0022970866   0.0013261572   0.0022970866   0.0013261572   0.0022970866   0.0013261572
            240   0.0052351968   0.0019802296   0.0052351968   0.0019802296   0.0052351968   0.0019802296
            245   0.0022374409   0.0012926405   0.0022374409   0.0012926405   0.0022374409   0.0012926405
            250              0   0.0010827936              0   0.0010827936              0   0.0010827936
            255   0.0015313976   0.0010828075   0.0015313976   0.0010828075   0.0015313976   0.0010828075
            260  0.00076570864  0.00076567035  0.00076570864  0.00076567035  0.00076570864  0.00076567035
            265   0.0022971063   0.0013261686   0.0022971063   0.0013261686   0.0022971063   0.0013261686
            270  0.00076566929    0.000765631  0.00076566929    0.000765631  0.00076566929    0.000765631
            275  0.00076568897  0.00076565068  0.00076568897  0.00076565068  0.00076568897  0.00076565068
            280  0.00076570864  0.00076567035  0.00076570864  0.00076567035  0.00076570864  0.00076567035
            285              0              0              0              0              0              0
            290  0.00076568897  0.00076565068  0.00076568897  0.00076565068  0.00076568897  0.00076565068
            295              0              0              0              0              0              0
            300              0              0              0              0              0              0
            305  0.00076570864  0.00076567035  0.00076570864  0.00076567035  0.00076570864  0.00076567035
            310              0              0              0              0              0              0
            315              0              0              0              0              0              0
            320  0.00076568897  0.00076565068  0.00076568897  0.00076565068  0.00076568897  0.00076565068
            325              0              0              0              0              0              0
            330              0              0              0              0              0              0
            335  0.00076570864  0.00076567035  0.00076570864  0.00076567035  0.00076570864  0.00076567035
            340              0              0              0              0              0              0
            345              0              0              0              0              0              0
            350              0              0              0              0              0              0
            355              0              0              0              0              0              0
            360              0              0              0              0              0              0
            365              0              0              0              0              0              0
            370  0.00063265748  0.00063262585  0.00063265748  0.00063262585  0.00063265748  0.00063262585
            375              0              0              0              0              0              0
            380              0              0              0              0              0              0
            385              0              0              0              0              0              0
            390              0              0              0              0              0              0
            395              0              0              0              0              0              0
            400              0              0              0              0              0              0
            405              0              0              0              0              0              0
            410              0              0              0              0              0              0
            415              0              0              0              0              0              0
            420              0              0              0              0              0              0
            425              0              0              0              0              0              0
            430              0              0              0              0              0              0
            435              0              0              0              0              0              0
            440              0              0              0              0              0              0
            445              0              0              0              0              0              0
            450              0              0              0              0              0              0
            455              0              0              0              0              0              0
            460              0              0              0              0              0              0
            465              0              0              0              0              0              0
            470              0              0              0              0              0              0
            475              0              0              0              0              0              0
            480              0              0              0              0              0              0
            485              0              0              0              0              0              0
            490              0              0              0              0              0              0
            495              0              0              0              0              0              0
            500              0              0              0              0              0              0
            505              0              0              0              0              0              0
            510              0              0              0              0              0              0
            515              0              0              0              0              0              0
            520              0              0              0              0              0              0
            525              0              0              0              0              0              0
            530              0              0              0              0              0              0
            535              0              0              0              0              0              0
            540              0              0              0              0              0              0
            545              0              0              0              0              0              0
            550              0              0              0              0              0              0
            555              0              0              0              0              0              0
            560              0              0              0              0              0              0
            565              0              0              0              0              0              0
            570              0              0              0              0              0              0
            575              0              0              0              0              0              0
            580              0              0              0              0              0              0
            585              0              0              0              0              0              0
            590              0              0              0              0              0              0
            595              0              0              0              0              0              0
            600              0              0              0              0              0              0
            605              0              0              0              0              0              0
            610              0              0              0              0              0              0
            615              0              0              0              0              0              0
            620              0              0              0              0              0              0
            625              0              0              0              0              0              0
            630              0              0              0              0              0              0
            635  0.00076568897  0.00076565068  0.00076568897  0.00076565068  0.00076568897  0.00076565068
            640              0              0              0              0              0              0
            645              0              0              0              0              0              0
            650              0              0              0              0              0              0
            655              0              0              0              0              0              0
            660              0              0              0              0              0              0
            665              0              0              0              0              0              0
            670              0              0              0              0              0              0
            675              0              0              0              0              0              0
            680              0              0              0              0              0              0
            685              0              0              0              0              0              0
            690              0              0              0              0              0              0
            695              0              0              0              0              0              0
            700              0              0              0              0              0              0
            705              0              0              0              0              0              0
            710              0              0              0              0              0              0
            715              0              0              0              0              0              0
            720              0              0              0              0              0              0
            725              0              0              0              0              0              0
            730              0              0              0              0              0              0
            735              0              0              0              0              0              0
            740              0              0              0              0              0              0
            745              0              0              0              0              0              0
            750              0              0              0              0              0              0
            755              0              0              0              0              0              0
            760              0              0              0              0              0              0
            765              0              0              0              0              0              0
            770              0              0              0              0              0              0
            775              0              0              0              0              0              0
            780              0              0              0              0              0              0
            785              0              0              0              0              0              0
            790              0              0              0              0              0              0
            795              0              0              0              0              0              0
            800              0              0              0              0              0              0
            805              0              0              0              0              0              0
            810              0              0              0              0              0              0
            815              0              0              0              0              0              0
            820              0              0              0              0              0              0
            825              0              0              0              0              0              0
            830              0              0              0              0              0              0
            835              0              0              0              0              0              0
            840              0              0              0              0              0              0
            845              0              0              0              0              0              0
            850              0              0              0              0              0              0
            855              0              0              0              0              0              0
            860              0              0              0              0              0              0
            865              0              0              0              0              0              0
            870              0              0              0              0              0              0
            875              0              0              0              0              0              0
            880              0              0              0              0              0              0
            885              0              0              0              0              0              0
            890              0              0              0              0              0              0
            895              0              0              0              0              0              0
            900              0              0              0              0              0              0
            905              0              0              0              0              0              0
            910              0              0              0              0              0              0
            915              0              0              0              0              0              0
            920              0              0              0              0              0              0
            925              0              0              0              0              0              0
            930              0              0              0              0              0              0
            935              0              0              0              0              0              0
            940              0              0              0              0              0              0
            945              0              0              0              0              0              0
            950              0              0              0              0              0              0
            955              0              0              0              0              0              0
            960              0              0              0              0              0              0
            965              0              0              0              0              0              0
            970              0              0              0              0              0              0
            975              0              0              0              0              0              0
            980              0              0              0              0              0              0
            985              0              0              0              0              0              0
            990              0              0              0              0              0              0
            995              0              0              0              0              0              0
           1000              0              0              0              0              0              0
