#   left-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           677.42242      0.0478929        567.99560      0.0390552        822.08788      0.0613129       -16.15%     21.36%
          50           84.613591      0.0261591        70.847435      0.0206767        102.89878      0.0344311       -16.27%     21.61%
         100           17.455754      0.0109335        14.297122     0.00868221        21.788628      0.0141912       -18.10%     24.82%
         150           5.5460336     0.00542940        4.4469203     0.00425737        7.0832904     0.00713354       -19.82%     27.72%
         200           2.1876137     0.00323017        1.7294188     0.00251127        2.8366816     0.00427769       -20.94%     29.67%
         250           1.0020229     0.00212799       0.78383023     0.00164081        1.3139858     0.00284030       -21.78%     31.13%
         300          0.50415006     0.00152686       0.39131140     0.00117078       0.66661082     0.00204781       -22.38%     32.22%
         350          0.26925057     0.00116684       0.20770233    0.000892486       0.35838556     0.00156885       -22.86%     33.10%
         400          0.15353122    0.000745436       0.11784848    0.000567456       0.20545134     0.00100906       -23.24%     33.82%
         450         0.090746883    0.000526722      0.069300434    0.000400434       0.12209494    0.000714078       -23.63%     34.54%
         500         0.056105363    0.000472907      0.042641007    0.000358505      0.075870461    0.000642059       -24.00%     35.23%
         550         0.034839706    0.000400464      0.026390399    0.000302737      0.047292108    0.000544484       -24.25%     35.74%
         600         0.022765939    0.000272146      0.017201656    0.000205112      0.030985731    0.000371856       -24.44%     36.11%
         650         0.015455088    0.000230876      0.011628400    0.000173076      0.021126944    0.000317129       -24.76%     36.70%
         700         0.010041118    0.000196226     0.0075512040    0.000149866      0.013738108    0.000265942       -24.80%     36.82%
         750        0.0070038481    0.000150743     0.0052484564    0.000113418     0.0096157986    0.000206247       -25.06%     37.29%
         800        0.0047331997    0.000133731     0.0035402944    0.000100474     0.0065137071    0.000182986       -25.20%     37.62%
         850        0.0033877947    0.000118610     0.0025286670    8.88206e-05     0.0046716644    0.000162596       -25.36%     37.90%
         900        0.0023524076    9.80179e-05     0.0017519072    7.32983e-05     0.0032524078    0.000134546       -25.53%     38.26%
         950        0.0016453118    7.97913e-05     0.0012178678    5.86295e-05     0.0022895108    0.000111775       -25.98%     39.15%
