#m_bbZ-mbbZ1000        central        num_err    min (scale)        num_err    max (scale)        num_err
              0              0              0              0              0              0              0
              1              0              0              0              0              0              0
              2              0              0              0              0              0              0
              3              0              0              0              0              0              0
              4              0              0              0              0              0              0
              5              0              0              0              0              0              0
              6              0              0              0              0              0              0
              7              0              0              0              0              0              0
              8              0              0              0              0              0              0
              9              0              0              0              0              0              0
             10              0              0              0              0              0              0
             11              0              0              0              0              0              0
             12              0              0              0              0              0              0
             13              0              0              0              0              0              0
             14              0              0              0              0              0              0
             15   0.0056064963   0.0056062159   0.0038161416   0.0038159509   0.0095041335   0.0095036583
             16    0.006606693   0.0066063626   0.0029621062   0.0029619582    0.049740156    0.049737669
             17  -0.0038262795   0.0038260882    -0.01028937    0.010288855  -0.0013359252   0.0013358584
             18     0.01361998   0.0097061065    0.008404823    0.005966492    0.023743208    0.017094949
             19    0.037368898    0.021793267    0.023585433    0.012731424     0.10815453    0.071313897
             20    0.020491831    0.016890466   -0.043969785    0.077118721    0.020790748    0.012503858
             21    0.090642225    0.028086384     0.06393317      0.0177827     0.18924675    0.090086842
             22    0.037104036    0.018213836    0.026423031    0.010663747    0.055379232     0.04075028
             23    0.065343543    0.021721535    0.044436516    0.014176167     0.14265591    0.053754868
             24    0.088163977    0.035573353    -0.26029842     0.47006651    0.088163977    0.035573353
             25     0.11801732    0.025257898    0.078940945     0.01638566     0.22577766    0.056569004
             26     0.16934035     0.03540755      0.1183939    0.022472867     0.28291496     0.14366275
             27     0.14618893    0.034296382     0.11050695     0.02137276     0.15885669    0.045065833
             28     0.14570748    0.034680301     0.10472589    0.022547328     0.29011865    0.084724715
             29     0.27355118    0.048780891     0.18737254    0.030794666      1.0953718     0.45275642
             30     0.20905905     0.04131273      0.1579001    0.027517382     0.49235085     0.19906784
             31     0.36959567    0.050313303     0.25448826    0.032902253      1.1146034     0.31937143
             32     0.32530987    0.050851855     0.23976135    0.033559063     0.47304489      0.1904884
             33     0.30844065    0.055357492     0.24017185    0.034241487     0.33814129     0.22741266
             34     0.34471966    0.060625776     0.26156317    0.038562822      0.6046929     0.38414612
             35     0.53473702    0.067221512     0.36919152    0.042313171      1.6238603     0.45973992
             36     0.48407559    0.055965686     0.35196338    0.038443671     0.82366132     0.13057459
             37     0.54078425    0.079149819     0.40848986     0.04795119     0.92476043     0.83953252
             38     0.62674045     0.07031828     0.46593908    0.045960889     0.70009429     0.09243494
             39     0.53577431     0.12433427     0.38541252     0.58886201     0.56616545     0.19065732
             40     0.59480945    0.063489567      0.4383064    0.042679683     0.66886201    0.075600152
             41     0.81331551    0.071490086      0.5825475    0.048392905      1.7189021     0.28979015
             42      0.8357371    0.079068903     0.60742584    0.051199346       2.170648     0.74666766
             43     0.79049028    0.079284685     0.59515305     0.05436171      1.4325157     0.54831539
             44      1.0441327    0.085157431     0.76784828    0.058082551      2.2061853      0.3319203
             45     0.88399498    0.089748808     0.68826412    0.064329316      1.5612922     0.94296982
             46      1.1469888    0.086337901     0.84896774     0.05951191      1.8760638      0.3498295
             47      1.1001707    0.092176299     0.81981544    0.061554574      2.0164717     0.40369235
             48      1.1180184    0.092504119     0.84229057    0.062493363      1.5683845     0.49222794
             49      1.3154099    0.094786551      1.0297801    0.071549547      1.8445219     0.43920186
             50      1.2022534    0.099168435     0.89694675    0.064354837      1.8365735      1.1554806
             51       1.413932     0.10514577      1.0612486    0.070209678      1.5608334     0.12633739
             52       1.578948     0.11262425      1.1742692    0.074130555      2.8847417     0.92056145
             53      1.5282478     0.10369715      1.1564256    0.071821466      2.7651147     0.70746823
             54      1.7957688     0.10970486      1.3425728    0.077336392      2.4562423      1.0854516
             55      1.9243517     0.12249839      1.4546555    0.082658042      3.4554204     0.94806214
             56      2.0530166     0.11516479      1.5322739    0.081403213       3.417714     0.39743309
             57      2.1943144     0.12328515      1.6279107    0.084388951      5.3474278      1.0299948
             58      2.4128472     0.12873173      1.7791365    0.088006316       5.271985      1.3908383
             59      2.4173297     0.13300875      1.8227959    0.092314601      5.6918474      1.0530709
             60      2.5369577     0.13461088      1.9246215    0.092910047      4.3469572      0.8036311
             61      2.6056573     0.13856348      2.0039995    0.098115565      4.2648455     0.88699352
             62      2.8992282     0.13779796      2.1859105    0.096545469      3.5083505     0.36108114
             63      3.0887134     0.14119049      2.3267222     0.10027558      5.0814748     0.63390151
             64      3.1628488     0.14947529      2.4064939      0.1041759      3.7823925     0.47809945
             65      3.1892951     0.14816605       2.433187     0.10459203      4.2930334     0.80372859
             66      3.5334193     0.15759897       2.679548     0.10971292      6.4510634      0.7999215
             67      3.9248016     0.15865623       2.982793     0.11542858      7.1449121      1.3243972
             68      4.2185242     0.18369695      3.1597907     0.12712749        8.17805      1.0424408
             69      4.4573938     0.18102924      3.3914439     0.12655204      7.4584401      1.3820352
             70       4.361074     0.17331995      3.3303725     0.12207135      5.5722098      1.2298461
             71      4.9861042      0.1863321      3.8252274     0.13848774      8.3343469      1.6957235
             72      5.3839974     0.19135009       4.091303     0.13594374      10.476214      1.0359957
             73      5.9810384     0.20149592      4.5676737      0.1476702       9.890025     0.69712407
             74      6.2141241     0.21127356      4.7577601     0.14873945      10.033162      1.2678433
             75      6.6993513     0.21091314      5.0748161     0.14894412      10.065983      1.3009275
             76      6.7267527     0.21402151      5.1870271     0.15308879      11.493842      1.2960312
             77       7.418662     0.22635698      5.7810622     0.16937683      13.175092      1.4845893
             78       8.612002     0.23761314       6.602886     0.16898754      11.691309        1.67003
             79        9.07192     0.24573725      6.8939932     0.17436921      16.856421      1.8856769
             80      9.5877717     0.25201532      7.3365173     0.17990138      17.528164      1.6957453
             81      11.097265     0.27110791      8.5135135     0.19653543      17.088995      1.4787676
             82      12.231538     0.28296355      9.4091487     0.20403923      20.523158      1.8128145
