           bin (y_Wbb)   qTcut           order/list                                                                 dsigma +-            error

        -5        -4.9   extrapolation   dNNLO.QCD                                                                  0.032238704 +-      0.027014045
---------------------------------------------------------------------------------------------------------------------------------------------------
        -5        -4.9   extrapolation   NNLO.QT-CS.42                 woVT2                                        0.017046680 +-      0.026747444
        -5        -4.9   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                 0.001807438 +-      0.000462303
        -5        -4.9   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                          0.008436213 +-      0.001057867
        -5        -4.9   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                          0.005788772 +-      0.003531614
        -5        -4.9   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                         -0.000840398 +-      0.000726458

        -5        -4.9   0.01            dNNLO.QCD                                                             0.011384605 +-      0.040573367
---------------------------------------------------------------------------------------------------------------------------------------------------
        -5        -4.9   0.01            NNLO.QT-CS.42                 woVT2                                       -0.003807420 +-      0.040396352
        -5        -4.9   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                 0.001807438 +-      0.000462303
        -5        -4.9   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                          0.008436213 +-      0.001057867
        -5        -4.9   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                          0.005788772 +-      0.003531614
        -5        -4.9   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                         -0.000840398 +-      0.000726458

        -5        -4.9   0.05            dNNLO.QCD                                                             0.034168913 +-      0.021427809
---------------------------------------------------------------------------------------------------------------------------------------------------
        -5        -4.9   0.05            NNLO.QT-CS.42                 woVT2                                        0.018976889 +-      0.021090712
        -5        -4.9   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                 0.001807438 +-      0.000462303
        -5        -4.9   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                          0.008436213 +-      0.001057867
        -5        -4.9   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                          0.005788772 +-      0.003531614
        -5        -4.9   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                         -0.000840398 +-      0.000726458

        -5        -4.9   0.1             dNNLO.QCD                                                             0.040585010 +-      0.016599939
---------------------------------------------------------------------------------------------------------------------------------------------------
        -5        -4.9   0.1             NNLO.QT-CS.42                 woVT2                                        0.025392986 +-      0.016162460
        -5        -4.9   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                 0.001807438 +-      0.000462303
        -5        -4.9   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                          0.008436213 +-      0.001057867
        -5        -4.9   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                          0.005788772 +-      0.003531614
        -5        -4.9   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                         -0.000840398 +-      0.000726458

        -5        -4.9   0.15            dNNLO.QCD                                                             0.026188316 +-      0.014811709
---------------------------------------------------------------------------------------------------------------------------------------------------
        -5        -4.9   0.15            NNLO.QT-CS.42                 woVT2                                        0.010996292 +-      0.014319703
