#   left-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
         1.4           3434.1764        10.7156        2893.8433        8.09945        4139.3991        14.6794       -15.73%     20.54%
         1.5           3355.6970        10.7822        2831.2644        8.14812        4038.3844        14.7750       -15.63%     20.34%
         1.6           3264.0856        10.8763        2758.7350        8.20093        3919.2393        14.9410       -15.48%     20.07%
         1.7           3194.8228        10.3293        2702.5680        7.80717        3831.7860        14.1539       -15.41%     19.94%
         1.8           3108.9233        10.3123        2633.7588        7.78988        3721.6985        14.1401       -15.28%     19.71%
         1.9           3034.1582        10.2035        2573.1022        7.71135        3627.3037        13.9835       -15.20%     19.55%
           2           2944.0055        10.2567        2499.4778        7.75200        3514.2466        14.0522       -15.10%     19.37%
         2.1           2843.8602        9.36158        2418.7432        7.08836        3386.7495        12.8080       -14.95%     19.09%
         2.2           2753.5208        9.15492        2344.9789        6.93064        3273.5861        12.5303       -14.84%     18.89%
         2.3           2663.4025        9.91768        2269.8901        7.48051        3163.4728        13.6224       -14.77%     18.78%
         2.4           2560.8207        9.74822        2186.2572        7.35857        3034.5573        13.3774       -14.63%     18.50%
         2.5           2461.5622        9.49969        2104.1483        7.16942        2912.0623        13.0422       -14.52%     18.30%
         2.6           2360.7959        9.30472        2021.5064        7.02731        2786.3614        12.7644       -14.37%     18.03%
         2.7           2257.9379        9.55508        1935.6131        7.20342        2660.8926        13.1294       -14.28%     17.85%
         2.8           2160.6824        8.27931        1853.5390        6.26636        2543.9840        11.3361       -14.22%     17.74%
         2.9           2057.2020        8.82533        1766.4496        6.66404        2418.9966        12.1096       -14.13%     17.59%
           3           1949.8007        8.60987        1676.7449        6.49639        2288.1136        11.8264       -14.00%     17.35%
         3.1           1847.9563        8.88693        1590.0017        6.69407        2167.0178        12.2245       -13.96%     17.27%
         3.2           1730.5046        8.25211        1492.1273        6.22878        2023.3702        11.3292       -13.78%     16.92%
         3.3           1643.4405        7.28330        1416.0827        5.51364        1923.4450        9.97216       -13.83%     17.04%
         3.4           1541.2557        7.06187        1328.4682        5.34518        1803.0090        9.67121       -13.81%     16.98%
         3.5           1422.8796        7.48958        1229.0368        5.65340        1659.6379        10.2811       -13.62%     16.64%
         3.6           1325.2975        7.17549        1144.7855        5.41792        1545.8211        9.84860       -13.62%     16.64%
         3.7           1234.9931        6.95142        1065.6736        5.24702        1442.6166        9.54488       -13.71%     16.81%
         3.8           1140.9382        6.71725        984.20793        5.06968        1333.3285        9.22395       -13.74%     16.86%
         3.9           1039.6023        5.73189        897.49707        4.34425        1213.6190        7.83940       -13.67%     16.74%
           4           945.68166        5.91052        816.44386        4.46964        1103.5345        7.44150       -13.67%     16.69%
         4.1           861.01840        5.62375        742.93451        4.25202        1005.8544        7.70862       -13.71%     16.82%
         4.2           766.85231        4.86374        661.98465        3.69018        895.31094        6.64491       -13.68%     16.75%
         4.3           694.53498        4.94859        598.46858        3.74653        812.95554        6.77344       -13.83%     17.05%
         4.4           619.87464        4.61338        533.42637        3.49444        726.94984        6.31151       -13.95%     17.27%
         4.5           546.85336        4.33874        470.25601        3.28760        641.91240        5.93277       -14.01%     17.38%
         4.6           477.31638        3.65337        410.22593        2.77912        560.74185        4.97719       -14.06%     17.48%
         4.7           420.37533        3.37722        360.20816        2.57001        495.90217        4.59911       -14.31%     17.97%
         4.8           359.21108        3.48789        308.09811        2.64302        423.18203        4.76808       -14.23%     17.81%
         4.9           314.60529        3.16455        268.64143        2.40195        372.84947        4.31799       -14.61%     18.51%
